mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.9761863549550376,0.19159338589271038,0.011400143305460611,0.0013029831990115578,1.0,200,4,4,3,0.03,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.03}",0.9952874646559849,0.993862134088763,0.9943422913719944,0.9944972967055806,0.0005921214945963243,9
3.5535225868225098,0.1592969764224699,0.015381256739298502,0.004103141965535771,0.85,200,6,1,3,0.05,"{'subsample': 0.85, 'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.05}",0.9933868682097308,0.9936215450035436,0.9938650306748467,0.9936244812960403,0.00019522005040747745,16
2.8138367335001626,0.21844252592575528,0.008691151936848959,0.00024692625485018914,1.0,200,8,1,2,0.05,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.05}",0.9941023826374145,0.993862134088763,0.9938679245283019,0.9939441470848265,0.00011191440144038678,12
1.9515061378479004,0.24960337265983512,0.03260087966918945,0.025170578033967616,0.7,150,4,1,2,0.05,"{'subsample': 0.7, 'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.05}",0.9943422913719944,0.9952830188679245,0.9941023826374145,0.9945758976257778,0.0005095124392025893,8
2.114128033320109,0.17692253466328908,0.011681238810221354,0.0007892700611359389,0.7,200,4,1,2,0.1,"{'subsample': 0.7, 'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.1}",0.9926765887077723,0.9931393423231606,0.9912467471019636,0.9923542260442989,0.0008055711981468885,20
2.9386252562204995,0.07780718168806215,0.011714935302734375,0.0014336334176314283,0.85,150,8,2,4,0.01,"{'subsample': 0.85, 'n_estimators': 150, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.01}",0.9948186528497409,0.9950506716945557,0.9950506716945557,0.9949733320796175,0.00010937473235442354,2
3.859248638153076,0.4650973165370483,0.013889312744140625,0.0011655691237357018,1.0,300,6,4,2,0.05,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.05}",0.9950506716945557,0.9940995987727166,0.9945793070940372,0.9945765258537698,0.00038827887498290605,7
2.2743927637736,0.24084371262215695,0.01255496342976888,0.0008238013268293579,0.7,150,6,4,3,0.01,"{'subsample': 0.7, 'n_estimators': 150, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.01}",0.9948186528497409,0.9950506716945557,0.9943422913719944,0.9947372053054303,0.00029487392470196064,6
9.452845096588135,1.0582071619265359,0.027569135030110676,0.004508822852723614,0.7,500,6,1,4,0.05,"{'subsample': 0.7, 'n_estimators': 500, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 4, 'learning_rate': 0.05}",0.9933899905571294,0.9943369513921662,0.992914501653283,0.9935471478675262,0.0005912498795323695,17
4.338207960128784,0.02464220160104632,0.012697617212931315,0.00023794097216491605,1.0,200,6,4,4,0.1,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_depth': 4, 'learning_rate': 0.1}",0.9945767507663287,0.992434988179669,0.9941023826374145,0.9937047071944707,0.000918475571384143,15
4.574275970458984,0.5438196230434938,0.015538454055786133,0.0026867255507783626,0.85,400,2,4,2,0.01,"{'subsample': 0.85, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.01}",0.9952874646559849,0.9952852428099953,0.9948137670909948,0.995128824852325,0.00022278132608862867,1
2.491837501525879,0.27180917442944497,0.010858933130900065,0.002255939729428992,1.0,200,2,2,2,0.1,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 2, 'learning_rate': 0.1}",0.9938592347661785,0.9926731269203498,0.9929178470254958,0.9931500695706746,0.0005113110197333596,19
2.9832765261332193,0.01540734431187162,0.013546625773111979,0.0039353553547705105,0.85,200,8,1,3,0.03,"{'subsample': 0.85, 'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.03}",0.9943396226415094,0.9938592347661785,0.9931458284093595,0.9937815619390159,0.0004904494321457963,14
2.4761083920796714,0.01572715454687511,0.011041005452473959,0.000806015051696052,0.7,150,4,2,4,0.05,"{'subsample': 0.7, 'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.05}",0.9948137670909948,0.9945741920264213,0.9936275666745339,0.9943385085973167,0.0005121379150638268,11
1.509276310602824,0.19839542980578304,0.008870919545491537,0.0011962836090764941,0.7,150,4,4,2,0.05,"{'subsample': 0.7, 'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.05}",0.9948162111215834,0.9950483376562131,0.9945767507663287,0.9948137665147083,0.0001925323016272094,5
8.416814963022867,0.5863782294472418,0.014541705449422201,0.001080352523070778,0.85,400,8,1,4,0.03,"{'subsample': 0.85, 'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_depth': 4, 'learning_rate': 0.03}",0.9945767507663287,0.9943369513921662,0.9945741920264213,0.9944959647283054,0.00011244426053255672,10
5.976886510848999,0.06095898807887495,0.01454766591389974,3.1649760805352336e-06,1.0,500,6,2,2,0.05,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_depth': 2, 'learning_rate': 0.05}",0.9936275666745339,0.9933806146572104,0.9943422913719944,0.9937834909012461,0.000407790631980271,13
7.1573498249053955,0.6450113196671337,0.020904143651326496,0.002411973645147659,0.7,400,6,2,4,0.01,"{'subsample': 0.7, 'n_estimators': 400, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.01}",0.9945818610129564,0.9952852428099953,0.9945767507663287,0.9948146181964268,0.0003327883950576073,4
3.306792974472046,0.4180008787804805,0.012537240982055664,0.001789702431646572,0.7,300,4,1,2,0.01,"{'subsample': 0.7, 'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.01}",0.995053003533569,0.9950483376562131,0.9945767507663287,0.9948926973187037,0.00022341607010399787,3
5.579923311869304,0.24150301551888856,0.011022408803304037,2.433998240012098e-06,0.7,500,4,1,3,0.03,"{'subsample': 0.7, 'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.03}",0.9938650306748467,0.9931458284093595,0.9924421350968351,0.9931509980603471,0.0005809061888978374,18
